model.name,totaltips,dispersal,amp,freq,niche.ev.rate,breath.ev.rate,phylo.sig,Me,geo.mode,slope,enviro.mode,enviro.hetero,RO0,RO50,RO75,RO90,RO100,ROmean,asymmean,bimod100,bimod90,bimod75,bimod50,ROkurt,ROskew,TOmean,TOsd,RSskew,RSmean,RSsd,RDmean,RDsd,ROslope,ROintercept,asymslope,asymintercept,RDslope,RDintercept,Beta,CI,SI,gamma,ARCint,ARCslope
run_1_VM_shortertimestep_1,80,6,1.125,1.125,1.0025,0.50125,0.625,150,parapatric,0.0305,sine,1,0.115384615,0.692307692,0.461538462,0.346153846,0.153846154,0.638462478,0.189985604,0.071005917,0.159763314,0.213017751,0.319526627,2.040159292,-0.6001197,0.274041972,0.446348832,0.424328021,0.376315122,0.324360539,0.004434428,0.019792735,0.398525378,0.611723059,0.454255456,0.159506926,0.013219061,0.003547483,0.507357076,210,602,1.483566731,0.560846387,-0.128966708
run_1_VM_shortertimestep_2,149,6,1.786203687,1.988730696,0.172254624,0.886173091,0.786234206,168.5802356,parapatric,0.018536501,linear,0,0.125,0.770833333,0.6875,0.520833333,0.229166667,0.737763714,0.280104073,0.114583333,0.260416667,0.34375,0.385416667,2.902366086,-1.197580864,-0.000800427,0.421960171,-0.028944173,0.50072161,0.350293226,0.001225543,0.003546362,0.761178179,0.648480287,0.315276462,0.243123293,-0.005352145,0.00185333,-0.430544834,774,1516,-1.591012234,0.705012843,0.144730985
run_1_VM_shortertimestep_3,117,6,1.018502411,0.422244094,0.022109046,0.942127587,0.421511628,146.0324727,sympatric,0.029171123,linear,0,0,0.945945946,0.864864865,0.756756757,0.567567568,0.905941671,0.282521532,0,0,0,0,8.459531832,-2.370207833,0,0.285726329,0.125445215,0.437235417,0.298805009,0,0,1.083240195,0.826507739,-0.228643778,0.299287965,0,0,-0.301275298,536,1078,0.150101994,0.873843415,0.038570121
run_1_VM_shortertimestep_4,128,7,0.282045413,0.75161753,1.828544223,0.217489471,0.862570958,205.1608375,allopatric,0.058919612,sine,0,0.333333333,0.58974359,0.487179487,0.461538462,0.205128205,0.551391338,0.246736651,0.273504274,0.615384615,0.64957265,0.786324786,1.227612401,-0.255719615,-0.025700365,0.472653491,0.475850222,0.388974952,0.329955801,0.030736746,0.127888359,-0.610882178,0.621137929,-0.76001615,0.333510398,0.154322713,0.013117173,-0.56671991,570,1216,-0.655193596,0.333333333,0.58974359
run_1_VM_shortertimestep_5,134,6,0.311313557,0.88428554,0.514131112,0.44118568,0.804980773,219.8345846,mixed,0.004086309,sine,1,0.186046512,0.604651163,0.441860465,0.255813953,0.093023256,0.567660268,0.329827697,0.069226609,0.190373175,0.328826393,0.449972958,1.681274381,-0.387046713,-0.005522515,0.500727856,0.119142403,0.447881422,0.301366153,0.001563744,0.003474517,-0.369589273,0.59661789,-0.453600234,0.365367646,0.00621137,0.001077078,-0.328606528,495,1195,-0.548676887,0.186046512,0.604651163
run_1_VM_shortertimestep_6,147,6,1.446041629,0.554965513,0.657700971,0.913602362,0.552508698,95.05890252,sympatric,0.046801257,linear,0,0.12244898,0.816326531,0.693877551,0.551020408,0.408163265,0.753916481,0.218096322,0.199916701,0.269887547,0.339858392,0.399833403,3.16709606,-1.265581844,0,0.392959739,0.190908543,0.405795255,0.33898617,0.017462503,0.07825642,-0.776327583,0.8187015,-0.577967098,0.266328036,0.122933363,0.007203637,-0.409231135,664,1426,0.688316105,0.799052654,-0.219393168
run_1_VM_shortertimestep2_4,75,3,0.663599463,0.881080999,0.600589636,0.741355063,0.480406519,83.91320271,dispersal,0.029633889,sine,0,0.28,0.52,0.4,0.32,0.16,0.508980786,0.167475442,0.1792,0.3584,0.448,0.5824,1.367781476,-0.038717952,0,0.4343962,0.20862159,0.418407164,0.362131504,0.012080608,0.040626547,0.827859849,0.434414686,0.974131199,0.079734546,0.04056133,0.008427211,-0.07028628,206,570,0.292631684,0.562953203,0.012428674
run_1_VM_shortertimestep2_5,16,2,1.839772935,1.795122993,1.010110786,0.262971525,0.362891412,241.9184521,dispersal,0.030933956,sine,1,0.571428571,0.142857143,0.142857143,0,0,0.155297622,0.108156437,0,0,0.326530612,0.326530612,4.445561566,1.762223843,-0.127116682,0.35340253,0.760321794,0.287676905,0.319257988,0.062147666,0.10346491,-0.317458641,0.189684821,0.545619048,0.049054845,0.702237558,-0.013918883,1.148315746,23,73,0.965739374,0.191579297,0.067038762
run_10_VM_shortertimestep_1,19,9,1.234381676,1.890671733,0.877804889,0.812987777,0.765633584,137.499237,allopatric,0.019436825,sine,1,0.6,0.4,0.4,0.2,0.2,0.377375278,0.248407158,0.48,0.48,0.96,0.96,1.206176873,0.426421564,0,0.02670073,0.481025148,0.382086775,0.335661097,0.004877201,0.004613174,4.336646075,-0.043344117,-1.226832416,0.367428214,-0.032441261,0.008024487,-0.521902556,45,101,-0.056722005,0.286708971,0.299401517
run_10_VM_shortertimestep_2,70,9,1.895585363,1.223058964,1.793291064,0.699130425,0.645600623,131.0779467,mixed,0.036975127,linear,0,0.4,0.44,0.32,0.24,0.2,0.434951031,0.152355503,0.32,0.384,0.512,0.704,1.403163418,0.244973027,0,0.509320114,0.877869866,0.291235244,0.302446397,0.008530876,0.022127148,0.512184915,0.383803185,-0.141852302,0.166521168,-0.003538318,0.008884219,0.261644205,220,540,0.110817868,0.45464568,0.010117309
run_10_VM_shortertimestep_3,56,10,0.909120735,0.969152475,1.892535708,0.63038981,0.280878044,158.5332357,mixed,0.040234298,linear,0,0.476190476,0.476190476,0.380952381,0.380952381,0.285714286,0.443969505,0.204869147,0.544217687,0.725623583,0.725623583,0.907029478,1.149838604,0.214498429,0,0.476487991,0.577089344,0.338316079,0.331801073,0.037035338,0.084456574,-3.910070176,0.882072606,-0.539724806,0.265342514,0.584613976,-0.028467628,-0.31045101,208,432,-1.003850675,0.568622366,-0.402018309
run_10_VM_shortertimestep_4,50,9,0.391427089,0.642235854,0.207507782,0.404532137,0.909448819,92.65397058,parapatric,0.010979186,sine,0,0.384615385,0.307692308,0.230769231,0.230769231,0.153846154,0.377454141,0.194109287,0.236686391,0.355029586,0.355029586,0.473372781,1.873254519,0.604745737,-0.217837411,0.565572264,0.39815375,0.387291821,0.313746054,0.002747113,0.003616743,0.131414766,0.366954843,0.243396502,0.174663281,-0.00464708,0.003118389,-0.369736506,159,361,-0.273414776,0.468072321,0.125993954
run_10_VM_shortertimestep_5,73,10,0.420695233,0.556140512,1.386996887,0.129447903,0.664347189,82.32619178,sympatric,0.052026735,sine,1,0.208333333,0.708333333,0.458333333,0.375,0.166666667,0.621082726,0.285156661,0.138888889,0.3125,0.381944444,0.590277778,1.989016684,-0.676480149,0.357995509,0.431719973,0.461658815,0.343168247,0.282403109,0.023783858,0.107125839,-0.560486276,0.710300756,-0.043195646,0.29203253,0.135546001,0.002207688,-0.586824209,283,605,-1.40111396,0.621440035,-0.513848567
run_10_VM_shortertimestep_6,68,9,1.555423305,0.883110541,1.281176524,0.726559696,0.505630837,207.5657694,mixed,0.006236282,linear,0,0.428571429,0.476190476,0.333333333,0.238095238,0.19047619,0.419781919,0.24862577,0.326530612,0.408163265,0.571428571,0.816326531,1.329550385,0.251459721,0,0.349727778,0.603811985,0.353808209,0.322227606,0.009064262,0.013379474,-1.380680842,0.515052618,-0.22251484,0.263979894,0.011047275,0.00830197,-0.031031088,198,516,1.347732885,0.441243855,-0.076394209
run_10_VM_shortertimestep2_4,132,6,0.608908625,0.27948178,1.286412745,0.64783373,0.9257462,115.1651102,sympatric,0.009351401,sine,1,0.261904762,0.571428571,0.5,0.428571429,0.214285714,0.573177142,0.255257299,0.224489796,0.448979592,0.523809524,0.598639456,1.388437216,-0.362467104,0,0.52188535,0.460878312,0.389076789,0.306400347,0.003753393,0.009813706,-0.957313335,0.639370112,-0.303483578,0.276241525,0.008832821,0.003142651,-0.449952117,547,1215,0.61091511,0.590579659,-0.209558619
run_100_VM_shortertimestep_1,46,5,0.783182262,1.083981871,1.205129555,0.010263001,0.806651712,157.8129769,allopatric,0.023585515,sine,1,0.352941176,0.411764706,0.352941176,0.176470588,0,0.437717429,0.336283343,0,0.249134948,0.498269896,0.581314879,1.382698589,0.060415499,0.063180537,0.433690155,0.327396819,0.438621403,0.295021096,0.009267785,0.02130646,0.869115834,0.312230116,-0.120513182,0.353683642,-0.002111702,0.009572683,-0.079612606,164,340,-0.518764627,0.391550458,0.256506506
run_100_VM_shortertimestep_2,17,5,1.27347708,0.655641519,1.458172954,0.445843481,0.455159311,69.35542941,sympatric,0.056105201,linear,1,0.2,0.6,0.4,0.4,0.2,0.615407726,0.290618291,0.16,0.32,0.32,0.48,1.894020535,-0.476384828,0,0.306358637,0.365948689,0.377673797,0.309665439,0.001428499,0.003194221,-3.695572381,0.99065046,-0.334791306,0.324612485,0.02549103,-0.001159821,-0.96667749,41,91,0.837707418,0.621547411,-0.437178952
run_100_VM_shortertimestep_3,52,5,1.363738326,1.266533907,0.665068211,0.585577504,0.672015199,157.3612891,sympatric,0.003933254,sine,1,0.176470588,0.764705882,0.647058824,0.411764706,0.176470588,0.711281041,0.3547326,0.124567474,0.290657439,0.456747405,0.539792388,2.935293843,-1.23838851,0.040771502,0.590321496,0.29062958,0.455660287,0.28183771,0.001434471,0.003250768,-1.017572718,0.827845098,-0.194885243,0.377056915,0.006692203,0.000667872,0.059933837,123,349,-0.689393395,0.716964159,-0.18103404
run_100_VM_shortertimestep_4,53,5,0.275209058,0.703763047,1.197275224,0.759133858,0.677989379,143.4383202,dispersal,0.026421535,linear,1,0.3125,0.5625,0.5,0.3125,0.25,0.533175451,0.250522791,0.3125,0.390625,0.625,0.703125,1.185982792,-0.190588559,0,0.329256136,0.515856146,0.387124327,0.348230815,0.019625028,0.062163162,2.248864317,0.369976616,0.548406834,0.210725212,0.499501242,-0.0166235,-0.104982598,159,385,-0.245426931,0.3125,0.5625
run_100_VM_shortertimestep_5,51,5,1.922984191,0.643304035,1.451292804,0.773381249,0.839406702,157.1354453,allopatric,0.039868766,linear,1,0.533333333,0.4,0.2,0.133333333,0,0.298588891,0.260908989,0,0.284444444,0.426666667,0.853333333,1.945737925,0.721761944,0,0.446633347,0.668445423,0.322213166,0.301465345,0.030031002,0.053545781,-1.238898651,0.469789449,-1.178348264,0.423742228,0.266216916,-0.006756902,-0.7153,196,402,-1.626089616,0.533333333,0.4
run_100_VM_shortertimestep_6,15,5,1.753677593,1.847036562,1.974793078,0.481066197,0.690212415,192.7211133,parapatric,0.024444424,linear,1,0.6,0.2,0.2,0.2,0.2,0.216666667,0.109694421,0.48,0.48,0.48,0.48,3.21506392,1.475482613,-0.388888889,0.726526314,0.473975751,0.361401936,0.361658398,0.122117415,0.265101345,-0.997463158,0.300630338,0.235325556,0.089885371,1.999538273,-0.046198148,-0.615954109,23,69,2.374228303,0.521855398,-0.31537248
run_101_VM_shortertimestep_1,116,9,1.658235671,1.95903528,0.207568669,0.509043444,0.431628823,57.80687298,parapatric,0.053087316,linear,0,0.068181818,0.863636364,0.795454545,0.681818182,0.386363636,0.836945644,0.294741796,0.105371901,0.185950413,0.216942149,0.23553719,5.773057906,-1.98773283,0,0.348353319,0.008020235,0.454681426,0.288133165,0.000486988,0.001821134,0.191768737,0.814705452,0.465207392,0.240789822,0.003690962,5.89E-05,0.056069237,501,1063,-2.060879952,0.803999974,0.000768268
run_101_VM_shortertimestep_2,87,10,0.398423671,1.530694928,0.460612067,0.944623924,0.830182201,169.3615333,mixed,0.0266034,sine,0,0.185185185,0.740740741,0.703703704,0.518518519,0.333333333,0.70342593,0.287353692,0.24691358,0.384087791,0.521262003,0.548696845,2.283073369,-0.990510367,0,0.43517856,0.047430579,0.480216566,0.348466623,0.001322684,0.002827338,0.974899656,0.62721309,0.154597143,0.275268051,-0.005984369,0.001790513,0.196570038,245,669,0.248315648,0.666327911,-0.000574462
run_101_VM_shortertimestep_3,122,9,0.488684917,0.391480498,1.662629097,0.086797061,0.296992309,57.35518525,mixed,0.033435055,linear,0,0.431818182,0.363636364,0.340909091,0.272727273,0.159090909,0.379064127,0.178301675,0.274793388,0.47107438,0.588842975,0.628099174,1.412228112,0.519249156,0,0.511970099,0.418911211,0.353797188,0.28958383,0.020045362,0.047370918,-2.854250169,0.492169612,-0.27483254,0.189192475,0.11444418,0.015510278,-0.148384223,496,1110,3.286221556,0.325459234,-0.163247777
run_101_VM_shortertimestep_4,123,10,1.150262467,1.578816456,0.199714338,0.260353415,0.30296649,243.4444241,allopatric,0.055923335,sine,0,0.131578947,0.789473684,0.763157895,0.684210526,0.368421053,0.785041572,0.412943311,0.193905817,0.360110803,0.40166205,0.415512465,3.409860499,-1.459522965,0,0.345659906,0.006809459,0.522923451,0.262161045,0.000939802,0.002446804,2.104582937,0.629601298,-0.755932036,0.468774935,-0.012816874,0.001886431,-0.543150867,548,1182,-0.064447183,0.131578947,0.789473684
run_101_VM_shortertimestep_5,121,9,1.047930782,1.518357444,0.453731917,0.274600806,0.464383812,57.12934139,dispersal,0.010366966,sine,0,0.157894737,0.631578947,0.473684211,0.394736842,0.157894737,0.623219869,0.305508596,0.099722992,0.249307479,0.299168975,0.398891967,1.822208991,-0.535138943,-0.026166136,0.471949876,-0.334694571,0.557065672,0.309074628,0.003535582,0.011058175,1.656773354,0.494300097,0.586046733,0.259906093,-0.024209302,0.005419399,-0.363029437,536,1110,0.438678846,0.157894737,0.631578947
run_101_VM_shortertimestep_6,85,10,0.878624184,0.971983153,0.977232192,0.97984664,0.315189526,92.71500946,mixed,0.053946225,sine,0,0.321428571,0.642857143,0.571428571,0.571428571,0.428571429,0.628248173,0.15964355,0.551020408,0.734693878,0.734693878,0.826530612,1.409778027,-0.5391588,0.007308958,0.477264603,0.728638213,0.330923642,0.341979924,0.006692246,0.013705739,-3.688621171,0.876340713,-0.520923805,0.194680303,0.072418931,0.001821429,-0.390014716,366,758,0.663703756,0.594480055,-0.451930272
run_102_VM_shortertimestep_1,11,7,1.220708967,0.646455167,1.703909998,0.758433666,0.994163157,207.8160288,mixed,0.038336416,sine,0,0.75,0.25,0.25,0,0,0.206698064,0.312866231,0,0,0.75,0.75,2.333333333,1.154700538,-0.756140105,0.827064941,0.975040264,0.330662526,0.322785052,0.009217885,0.009527244,1.540103221,-0.10132258,-0.243939206,0.361654072,-0.008762278,0.010970341,9.999930677,5,39,0.309753002,0.340895412,0.137051608
run_102_VM_shortertimestep_2,52,8,0.835950375,1.093168223,1.956953397,0.695233703,0.267647867,119.3584814,parapatric,0.0118525,linear,0,0.214285714,0.714285714,0.642857143,0.5,0.285714286,0.666069493,0.119062711,0.244897959,0.428571429,0.551020408,0.612244898,1.972292469,-0.840581554,0.105060396,0.540167689,1.302534181,0.267083654,0.304967168,0.01899703,0.064585829,2.052267229,0.489854412,0.746450168,0.054969802,0.045224491,0.015113892,-0.139790673,140,358,-0.041722708,0.604264252,-0.447264654
run_102_VM_shortertimestep_3,17,7,0.926211622,1.704060612,0.166287768,0.336187283,0.859526643,207.3643411,dispersal,0.048185955,sine,0,0.4,0.2,0.2,0.2,0,0.300620723,0.188671006,0,0.32,0.32,0.32,2.444251562,0.950432003,-0.765450197,0.630872483,-0.015320167,0.495192748,0.37334069,0.00924544,0.014115371,36.09008398,-0.17314872,20.41993961,-0.079389978,-1.355416338,0.02703855,-0.926931744,49,99,2.238973631,0.502531406,0.456753205
run_102_VM_shortertimestep_4,18,7,1.587789172,0.266236343,1.696055667,0.010963194,0.865500824,93.43526827,parapatric,0.041172435,linear,0,0.285714286,0.714285714,0.714285714,0.571428571,0,0.677396413,0.270704575,0,0.653061224,0.816326531,0.816326531,1.888842676,-0.926375915,0,0.222334789,-0.433182465,0.556556986,0.358660675,0.00824212,0.01418905,-0.412166703,0.748355515,0.302223039,0.218673502,0.025861116,0.00378984,0.361071834,34,90,-0.321549171,0.285714286,0.714285714
run_102_VM_shortertimestep_5,16,7,0.610404077,1.080830739,1.950073247,0.025210584,0.651895257,207.1384972,mixed,0.025117866,linear,0,0,0.833333333,0.833333333,0.666666667,0.5,0.809009019,0.228896964,0,0,0,0,3.889910675,-1.637286161,0.083468546,0.606411016,0.151427551,0.42563397,0.38964497,0,0,-3.769994252,1.085388896,-0.169038684,0.241289261,0,0,3.576022121,21,71,2.649487073,0,0.833333333
run_102_VM_shortertimestep_6,50,8,0.441097479,1.409509858,1.476012635,0.730456418,0.87772386,242.7241653,dispersal,0.039195324,linear,0,0.5,0.375,0.3125,0.25,0.125,0.349603348,0.228493354,0.25,0.5,0.625,0.75,1.43025416,0.585313623,-0.33244219,0.56053074,0.460059855,0.370231196,0.324511987,0.025851966,0.071148052,-1.498757135,0.513779038,-0.238743095,0.254645565,0.015480713,0.02415619,-0.615029072,150,374,0.285522788,0.445002539,0.088493785
run_103_VM_shortertimestep_1,81,2,0.345655558,1.521508576,0.706349112,0.259653223,0.619140267,107.8099249,sympatric,0.008834615,linear,1,0.12,0.68,0.56,0.4,0.2,0.655690408,0.275031772,0.096,0.192,0.2688,0.3264,1.970431551,-0.642204595,0.068249746,0.474778729,0.577566929,0.366507193,0.306863362,0.001999899,0.007295608,-0.40008123,0.697736681,-0.115157299,0.287134152,0.022657366,-0.000381262,-0.391259356,241,647,-1.142249992,0.655677567,-0.355151494
run_103_VM_shortertimestep_2,122,3,1.711003784,1.968221632,0.959392511,0.196453259,0.642670756,219.3645852,allopatric,0.0413543,sine,1,0.102564103,0.384615385,0.179487179,0.128205128,0.051282051,0.388879854,0.366972117,0.02103879,0.052596976,0.073635766,0.157790927,1.924483477,0.525984178,-0.021022238,0.387689129,0.593106844,0.357106373,0.231605068,0.009370656,0.055032007,0.101786826,0.380598101,-0.571455954,0.413467888,0.380779774,-0.021610996,-0.508258954,401,1057,-0.517618877,0.447623794,-0.073456504
run_103_VM_shortertimestep_3,87,2,1.801265031,0.829007203,1.163848654,0.834967726,0.484503754,107.3582372,allopatric,0.018684154,linear,1,0.423076923,0.384615385,0.269230769,0.153846154,0.076923077,0.379983771,0.281710519,0.130177515,0.26035503,0.455621302,0.650887574,1.430003436,0.384625996,-0.035958412,0.423415108,0.767130395,0.332460444,0.305720505,0.022688342,0.05930682,-0.02919418,0.383650489,-0.478637718,0.341826252,0.231570973,-0.006396409,-0.498253263,362,766,-1.803419916,0.452692957,-0.019956801
run_103_VM_shortertimestep_4,88,3,0.712735763,1.141289752,0.698494781,0.509743637,0.490477934,193.4413722,mixed,0.011670634,sine,1,0.214285714,0.714285714,0.428571429,0.392857143,0.285714286,0.60953197,0.26627541,0.244897959,0.336734694,0.367346939,0.612244898,1.832375143,-0.546791023,0.028670721,0.495943373,0.64620071,0.344493961,0.324991763,0.012799715,0.060794082,1.403257864,0.510826357,-0.835354107,0.325034489,0.199128849,-0.001207073,-0.738752495,432,860,0.311594635,0.214285714,0.714285714
run_103_VM_shortertimestep_5,86,3,1.485457486,1.955884148,0.95251236,0.523991027,0.276872368,107.1323933,sympatric,0.054619667,sine,1,0.214285714,0.678571429,0.607142857,0.428571429,0.25,0.638320731,0.195907027,0.214285714,0.367346939,0.520408163,0.581632653,1.693832006,-0.666214211,0.013106624,0.542328488,0.756173008,0.329092726,0.336766231,0.008471349,0.027615323,-1.217060225,0.734446245,-0.456740996,0.231981218,0.122074813,-0.00117033,0.499320435,283,685,-0.165169986,0.214285714,0.678571429
run_103_VM_shortertimestep_6,120,3,1.316150888,0.534456449,0.478451749,0.231675975,0.502700971,142.7180614,sympatric,0.009693524,sine,1,0.026315789,0.894736842,0.710526316,0.473684211,0.157894737,0.80033547,0.295546742,0.016620499,0.049861496,0.074792244,0.094182825,5.330689806,-1.657554087,-0.009727776,0.266620194,0.086918785,0.429539707,0.242914045,0.00018796,0.001158666,-1.475968614,0.914997055,0.376919782,0.266265483,0.009913436,-0.000582171,0.257328234,454,1048,-0.692097137,0.821608896,-0.25965934
run_104_VM_shortertimestep_1,72,3,1.548853995,1.849653604,0.581654001,0.197305667,0.947285296,170.3137399,sympatric,0.00514689,linear,0,0,0.92,0.8,0.48,0.16,0.834610851,0.320900542,0,0,0,0,4.520460806,-1.500746578,0.030372418,0.309362441,-0.383501973,0.60859787,0.30139415,0,0,-0.404833671,0.885239061,-0.125301576,0.336570668,0,0,0.191812494,183,529,0.530133178,0.816152276,-0.043387746
run_104_VM_shortertimestep_2,43,3,0.945332052,1.421313252,0.8346974,0.258800815,0.314525728,56.85466642,allopatric,0.037666575,sine,0,0.375,0.625,0.625,0.625,0.3125,0.611071773,0.321285582,0.46875,0.9375,0.9375,0.9375,1.268792957,-0.509503498,0,0.387412785,0.240333868,0.407777536,0.305327222,0.006229174,0.012069234,0.731959477,0.496703105,0.02761473,0.316970781,0.004420992,0.005538394,0.134983823,112,300,-1.655792296,0.688878791,-0.208291567
run_104_VM_shortertimestep_3,79,3,0.816829946,0.282098822,1.039153543,0.64792506,0.812648782,169.8620521,allopatric,0.02974733,linear,0,0.333333333,0.518518519,0.407407407,0.259259259,0.148148148,0.502932881,0.244425558,0.197530864,0.345679012,0.543209877,0.691358025,1.345263278,-0.107790502,-0.039333806,0.409927822,0.283795202,0.402324109,0.33219418,0.009247371,0.022400816,1.779706751,0.385206848,-1.920819747,0.371486091,0.04763586,0.006096301,-0.745303775,428,766,0.150119911,0.517887839,-0.089800271
run_104_VM_shortertimestep_4,80,2,1.9159342,1.688198132,0.57379967,0.946176524,0.818622963,130.9375572,mixed,0.007982909,sine,0,0.142857143,0.607142857,0.571428571,0.428571429,0.321428571,0.621148408,0.168050873,0.183673469,0.244897959,0.326530612,0.346938776,1.509101262,-0.452484783,0,0.474290882,0.582778562,0.374005436,0.336070069,0.015365565,0.054731773,1.641458748,0.470314959,-0.037923199,0.171535631,0.025832394,0.012991829,-0.092481424,247,633,0.325298229,0.142857143,0.607142857
run_104_VM_shortertimestep_5,77,3,0.282259049,1.408975768,0.82781725,0.960423915,0.698773118,169.6362083,parapatric,0.050931942,sine,0,0.208333333,0.625,0.541666667,0.458333333,0.333333333,0.619340939,0.157477863,0.277777778,0.381944444,0.451388889,0.520833333,1.582792777,-0.520606134,0,0.551630951,0.452870985,0.373173269,0.352667451,0.008153454,0.029363469,-1.106107414,0.71667564,0.847635016,0.08288809,-0.01338625,0.009331411,0.47007094,215,571,-1.287041885,0.208333333,0.625
run_104_VM_shortertimestep_6,41,3,0.550479155,1.081364829,0.353756638,0.29402353,0.830845999,180.2203504,allopatric,0.006005799,sine,0,0.285714286,0.642857143,0.428571429,0.214285714,0.071428571,0.555152826,0.395837917,0.081632653,0.244897959,0.489795918,0.734693878,1.64524705,-0.474660913,-0.167791614,0.3542432,0.282046859,0.453062874,0.275476644,0.002040713,0.003348453,2.791968167,0.233128395,-0.578490977,0.462560822,-0.020507095,0.004405993,-0.839702657,150,316,-1.252036724,0.627299922,0.039706198
run_105_VM_shortertimestep_1,142,8,0.673800586,0.974600195,1.579214887,0.696086111,0.572262406,70.30763596,mixed,0.034648691,sine,1,0.282608696,0.586956522,0.47826087,0.434782609,0.282608696,0.585647955,0.20681104,0.319470699,0.491493384,0.540642722,0.663516068,1.43863088,-0.394266874,0,0.493541079,0.44830398,0.369217025,0.332062193,0.013078557,0.044103476,-2.319296205,0.746725515,-0.558378102,0.245590986,0.340399195,-0.010562525,-0.765364102,954,1596,-0.012057322,0.593798024,-0.370596721
run_105_VM_shortertimestep_2,113,7,1.820385461,0.546259843,1.832258286,0.757581258,0.689548617,156.8607703,dispersal,0.008164774,linear,1,0.487179487,0.41025641,0.256410256,0.256410256,0.128205128,0.367599664,0.202928513,0.249835634,0.499671269,0.499671269,0.79947403,1.521673228,0.494367461,0,0.538485071,0.737726136,0.305873215,0.308817697,0.041694646,0.093054625,-0.72536992,0.413986229,-0.420923661,0.229846093,0.035257989,0.039439939,0.042929473,378,938,0.219640451,0.38749231,0.120379756
run_105_VM_shortertimestep_3,149,7,1.691883355,1.157152231,0.041592657,0.149144616,0.437625893,69.85594824,parapatric,0.05924913,sine,1,0,0.916666667,0.666666667,0.416666667,0.1875,0.808396114,0.299308604,0,0,0,0,5.180435722,-1.587190936,0.015713153,0.301741993,-0.400719164,0.554280555,0.281045769,0,0,0.743279493,0.746133552,1.01372258,0.214391738,0,0,-0.46515989,641,1391,-1.834749131,0.781120627,0.045834989
run_105_VM_shortertimestep_4,150,7,1.040880791,0.813144723,1.571360557,0.447396081,0.443600073,230.9436611,sympatric,0.03748471,linear,1,0.255319149,0.531914894,0.468085106,0.404255319,0.191489362,0.55370417,0.299189594,0.195563603,0.412856496,0.478044364,0.543232232,1.305977559,-0.225262805,0,0.527650391,0.485852062,0.37171535,0.297615975,0.024037918,0.083988922,-1.421941606,0.681160099,-0.47691602,0.341938026,0.525798392,-0.023092093,-0.641926108,916,1620,-0.393008037,0.255319149,0.531914894
run_105_VM_shortertimestep_5,147,8,1.157312458,0.533922359,1.825378136,0.461643472,0.323750229,69.63010438,mixed,0.021430141,linear,1,0.354166667,0.541666667,0.458333333,0.395833333,0.208333333,0.525099171,0.180083785,0.295138889,0.560763889,0.649305556,0.767361111,1.179152913,-0.15391985,0,0.531729758,0.556686792,0.35027027,0.320216831,0.023498291,0.072932266,-1.935411621,0.685779864,-0.323831188,0.206968722,0.067806089,0.01786893,-0.221155174,659,1429,0.584277802,0.354166667,0.541666667
run_105_VM_shortertimestep_6,111,7,1.425532564,1.956418238,1.351317524,0.792803974,0.455823109,80.21424648,parapatric,0.035507599,linear,1,0.243243243,0.567567568,0.540540541,0.378378378,0.27027027,0.589015254,0.196377653,0.262965668,0.368151936,0.525931337,0.552227904,1.459021676,-0.414980166,0,0.452942399,0.530601728,0.347584643,0.318289224,0.003614276,0.008790216,-2.614932927,0.721097254,0.416271775,0.175351489,0.020814543,0.00256292,-0.519547614,524,1060,2.311855004,0.591554527,-0.618069038
run_106_VM_shortertimestep_1,37,10,1.11132729,1.4121269,0.082873558,0.945476332,0.759773851,220.3167918,dispersal,0.049399591,linear,1,0.307692308,0.384615385,0.307692308,0,0,0.347111418,0.258708531,0,0,0.378698225,0.473372781,1.347194399,0.356326535,-0.35750605,0.402338732,-0.053470535,0.497306665,0.283558105,0.003296536,0.005544362,4.432489636,0.133175266,0.968585654,0.211959299,-0.036378119,0.005052343,-0.635009637,108,254,1.019548729,0.45191791,0.523752767
run_106_VM_shortertimestep_2,78,9,1.382858756,1.858839956,0.335916957,0.508191036,0.502037173,106.8577184,mixed,0.022915675,sine,1,0.137931034,0.793103448,0.620689655,0.482758621,0.206896552,0.719411775,0.316307772,0.114149822,0.266349584,0.342449465,0.437574316,2.968134365,-1.138228387,-0.010097919,0.364214513,-0.222734011,0.558841767,0.296100762,0.00172405,0.005615957,0.929141167,0.650206778,1.061148613,0.237270496,-0.030235162,0.003976049,0.292007848,247,643,0.262665497,0.723757648,0.210277149
run_106_VM_shortertimestep_3,44,10,1.25435665,0.719625526,1.537933986,0.398534838,0.625137337,219.8651041,mixed,0.04449823,linear,1,0.461538462,0.461538462,0.307692308,0.307692308,0.153846154,0.421293742,0.282488416,0.284023669,0.568047337,0.568047337,0.852071006,1.407557734,0.311474165,-0.063492063,0.502074264,0.745217912,0.317879301,0.275199591,0.011562563,0.021321235,-0.356327343,0.454685233,0.022953029,0.280337484,0.075078118,0.00452698,-0.973480702,145,323,1.410490247,0.470164015,-0.016742388
